"Well_ID","time_bin","Depth_ft","Latitude","Longitude","DepthClass","Database","Result"
"CDPH1000278","1990-2014",NA,35.206,-118.83,"Deep","CDPH",422.4
"CDPH1000279","1990-2014",NA,35.206,-118.83,"Deep","CDPH",347.8
"CDPH1000280","1990-2014",NA,35.19,-118.83,"Deep","CDPH",575.08
"CDPH1000281","1990-2014",NA,35.2,-118.83,"Deep","CDPH",362.24
"CDPH1000282","1960-1989",NA,35.35,-118.98,"Deep","CDPH",353.7
"CDPH1000282","1990-2014",NA,35.35,-118.98,"Deep","CDPH",429.12
"CDPH1000283","1960-1989",NA,35.3,-119,"Deep","CDPH",283.5
"CDPH1000283","1990-2014",NA,35.3,-119,"Deep","CDPH",307.84
"CDPH1000284","1960-1989",NA,35.26,-119.01,"Deep","CDPH",244.4
"CDPH1000284","1990-2014",NA,35.26,-119.01,"Deep","CDPH",230.4
"CDPH1000285","1990-2014",NA,35.26,-119.03,"Deep","CDPH",283.68
"CDPH1000286","1960-1989",NA,35.351,-118.988,"Deep","CDPH",194.8
"CDPH1000286","1990-2014",NA,35.351,-118.988,"Deep","CDPH",303.6
"CDPH1000287","1990-2014",NA,35.77,-119.25,"Deep","CDPH",454.4
"CDPH1000288","1990-2014",NA,35.77,-119.25,"Deep","CDPH",403.2
"CDPH1000289","1990-2014",NA,35.77,-119.24,"Deep","CDPH",460.8
"CDPH1000290","1960-1989",NA,35.351,-118.948,"Deep","CDPH",817.5
"CDPH1000290","1990-2014",NA,35.351,-118.948,"Deep","CDPH",831
"CDPH1000291","1990-2014",NA,35.351,-118.948,"Deep","CDPH",415
"CDPH1000292","1990-2014",NA,35.351,-118.948,"Deep","CDPH",924.8
"CDPH1000293","1990-2014",NA,35.37,-118.92,"Deep","CDPH",996.4
"CDPH1000294","1990-2014",NA,35.351,-118.948,"Deep","CDPH",752.6
"CDPH1000295","1990-2014",NA,35.36,-118.93,"Deep","CDPH",423.04
